url,type
br-icloud.com.br,phishing
mp3raid.com/music/krizz_kaliko.html,benign
bopsecrets.org/rexroth/cr/1.htm,benign
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,defacement
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkPTM2OmRlbW8tYXJ0aWNsZXMmSXRlbWlkPTU0,defacement
http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,benign
espn.go.com/nba/player/_/id/3457/brandon-rush,benign
yourbittorrent.com/?q=anthony-hamilton-soulife,benign
http://www.pashminaonline.com/pure-pashminas,defacement
allmusic.com/album/crazy-from-the-heat-r16990,benign
corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,benign
http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,defacement
myspace.com/video/vid/30602581,benign
http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,defacement
http://www.szabadmunkaero.hu/cimoldal.html?start=12,defacement
http://larcadelcarnevale.com/catalogo/palloncini,defacement
quickfacts.census.gov/qfd/maps/iowa_map.html,benign
nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966,benign
uk.linkedin.com/pub/steve-rubenstein/8/718/755,benign
http://www.vnic.co/khach-hang.html,defacement
baseball-reference.com/players/h/harrige01.shtml,benign
signin.eby.de.zukruygxctzmmqi.civpro.co.za,phishing
192.com/atoz/people/oakley/patrick/,benign
nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html,benign
escholarship.org/uc/item/5xt4952c,benign
songfacts.com/detail.php?id=13410,benign
casamanana.org/education/blba/,benign
http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/,benign
http://www.marketingbyinternet.com/mo/e56508df639f6ce7d55c81ee3fcd5ba8/,phishing
en.wikipedia.org/wiki/North_Dakota,benign
soaps.sheknows.com/daysofourlives/news/id/20259/Days_Of_Our_Lives_Casts_Ruta_Lee/,benign
perfectpeople.net/celebrity-star/6920/gidget-gein.htm,benign
media.caltech.edu/press_releases/13186,benign
wikiobits.com/Obits/TonyProudfoot,benign
vanderbilt.rivals.com/viewcoach.asp?coach=2079&sport=1&year=2011,benign
http://peluqueriadeautor.com/index.php?option=com_virtuemart&page=shop.browse&category_id=31&Itemid=70,defacement
movies.yahoo.com/shop?d=hv&cf=info&id=1800340831,benign
cyndislist.com/us/pa/counties,benign
http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,malware
http://www.raci.it/component/user/reset.html,defacement
https://docs.google.com/spreadsheet/viewform?formkey=dGg2Z1lCUHlSdjllTVNRUW50TFIzSkE6MQ,phishing
psychology.wikia.com/wiki/Phonemes,benign
info.centriq.com/content/fivereasons,benign
articles.baltimoresun.com/1991-06-11/sports/1991162162_1_james-koehler-texas-rangers-terrell-lowery,benign
infinitysw.com/,benign
strawberrycreekgardens.com/,benign
http://earth-sure.com/industrial-tech/everlast-impact-resistant-dumpster-enclosure,defacement
spoke.com/dir/p/desantis/nick,benign
wordsmith.org/words/pignus.html,benign
http://interpark.com/displaycorner/FreeMarket.do?_method=itemCateList&free1=pc&free2=007001008003&free3=item&disp_no=007001008003,benign
http://www.newtec.ac.uk/courses/health-and-social-care/level-2-diploma-in-health-a-social-care-.html,defacement
http://www.kingsmillshotel.com/spring/mothers-day,defacement
almanac.logos.com/Denominations,benign
gaming.wikia.com/wiki/Backbreaker_(video_game),benign
ceu.hu/,benign
registry.weddingchannel.com/coupledir/20108/C/R314763282/JARED_CLOUGH_AND_TAJAI_RITCHIE.htm,benign
linkedin.com/pub/george-cleveland/7/80a/599,benign
sunshinemills.com/,benign
agoda.com/north_america/canada/montreal_qc/attractions/hotels_near_mcgill_university_centre_for_continuing_education.html,benign
ctv.ca/generic/WebSpecials/sponsorship_scandal/,benign
http://www.approvi.com.br/ck.htm,defacement
http://www.shaborooz.ir/index.php?view=article&catid=7:1390-01-27-09-09-55&id=23:1390-04-12-08-07-33&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=2,defacement
veoox.com/tags/game.html,benign
chuckwalkertrio.blogspot.com/,benign
aerosolesshoes.org/,benign
http://www.juventudelirica.com.br/index.html,defacement
http://www.myenrg.com/southwest/9-texas,defacement
recipelink.com/msgbrd/board_14/2007/DEC/29094.html,benign
http://www.musimagen.com/lista_socios.php?letra=\303%91,defacement
ideas.repec.org/f/pma235.html,benign
peopleaz.org/firstname/Fowlkes/6,benign
orensamtraktrip.wordpress.com/,benign
retajconsultancy.com,phishing
alexa.com/whatshot?q=james+arness,benign
jpopasia.com/group/arashi/discography/,benign
kitsapsun.com/photos/2011/feb/25/177999/,benign
local.yahoo.com/info-42862457-oakland-international-airport-oakland,benign
tripadvisor.com/Restaurant_Review-g680765-d1768647-Reviews-Yacha_Yacha-Miyakojima_Okinawa_Prefecture_Kyushu_Okinawa.html,benign
articles.elitefts.com/articles/training-articles/five-great-exercises-for-building-a-dominant-defensive-lineman/,benign
broadwaystars.com/classic/?source=www.playbill.com,benign
http://www.pn-wuppertal.de/links/2-linkseite/5-httpwwwkrebshilfede,defacement
forums.networkinfrastructure.info/motorola-wireless-lan-switches/,benign
youtube.com/watch?v=mwpoPQ1SPJU,benign
mccall-idchamber.org/,benign
chacha.com/question/who-said-the-quote-%27say-what-you-mean%2C-mean-what-you-say-and-put-a-beat-to-it%27,benign
friars.com/sports/m-baskbl/archive/prov-m-baskbl-2003.html,benign
http://asociacionkaribu.org/index.php/servicios/centro-jambo,defacement
http://www.martin-busker.de/administrator/help/en-GB/css/Facture/c4d12146ebce8e1684d3542308399779/8fa39dab95edb1b676b638a672278eae/particuliers-45636.php,phishing
pipl.com/directory/name/Whissell/180,benign
spokeo.com/John+Collet,benign
http://www.parafiapiaski.pl/index.php?option=com_user&view=remind,defacement
http://fanpage.gr/family/gineka/%ce%b1%cf%85%cf%84%ce%bf%ce%af-%ce%b5%ce%af%ce%bd%ce%b1%ce%b9-%ce%bf%ce%b9-13-%cf%89%cf%81%ce%b1%ce%b9%cf%8c%cf%84%ce%b5%cf%81%ce%bf%ce%b9-%ce%ad%ce%bb%ce%bb%ce%b7%ce%bd%ce%b5%cf%82-%ce%b1%ce%bd-2/,benign
faqs.org/copyright/handbook-for-the-individual-or-group-culture-free/,benign
duckduckgo.com/1/c/Roman_Catholic_cathedrals_in_Canada,benign
alexpay2.beget.tech,phishing
http://worldoftanks.ru/ru/content/guide/payments_instruction/mobile-payments-rostelekom-ural-utel/,benign
http://www.artedesignsas.it/catalogo.html?page=shop.browse&category_id=14,defacement
en.wikipedia.org/wiki/Lloyd_Bacon,benign
http://serverfault.com/questions/682832/squid-transparent-https-certificate-error-ssl-error-bad-cert-domain,benign
http://www.viamanaus.com.br/index.php?option=com_wrapper&view=wrapper&Itemid=297,defacement
ciajfk.com/harold.html,benign
http://www.protect-effect.nl/diensten/62-telefonie,defacement
indyweek.com/artery/archives/2011/10/07/come-back-to-the-1980s-at-the-escapism-film-festival-which-begins-friday,benign
linkedin.com/pub/charles-gariepy/2/642/28,benign
http://www.gst-ukraine.com.ua/ukraine/tours/2754-arboretum-alexandria-sofiyivka,defacement
facebook.unitedcolleges.net,phishing
http://www.bimabn.com/1-configurazione-supporto-apple.store-contatta/c/Apple-id/3d465e25b47e6bc23ae55f5de40e1bb1/,phishing
eyeappealoptometry.com/,benign
brophygen.com/,benign
icehockey.wikia.com/wiki/Dan_Blackburn,benign
gurufocus.com/news/116068/who-is-the-warren-buffett-of-canada-prem-watsa-of-fairfax-financial-ffh-or-paul-desmarais-of-power-corporation-of-canada-pow,benign
http://www.bg-ricevimenti.it/index.php/location/osteria-del-molo.html?fontstyle=f-smaller,defacement
stewstew.com/,benign
livingharvest.com/products/ice-cream-bars,benign
http://icicibank.com/Personal-Banking/offers/offer-detail.page?id=offer-readers-digest-magazine-offer-20150202203953555,benign
http://9779.info/%E5%84%BF%E7%AB%A5%E7%AB%8B%E4%BD%93%E7%BA%B8%E8%B4%B4%E7%94%BB/,malware
bleacherreport.com/articles/300242-doug-harvey-one-of-the-best-ever-to-play-the-game,benign
http://www.boeuf-soufflenheim.com/de.feed?type=rss,defacement
